term,normalized_term,category
trochlear nucleus,trochlear nucleus,anatomy
left frontal lobe,left frontal lobe,anatomy
insula proper,insula proper,anatomy
Interpeduncular Nucleus,interpeduncular nucleus,anatomy
lobule I of Larsell,lobule,anatomy
Perlia nucleus of oculomotor nerve,nucleus oculomotor nerve,anatomy
"Ongur, Price, and Ferry (2003) area Ial",ongur price ferry area,anatomy
dorsal nucleus of the inferior colliculus,dorsal nucleus inferior colliculus,anatomy
area 32pl,area,anatomy
central sulcus of the insula,central sulcus insula,anatomy
medial stripe of Lancisi,medical strip,anatomy
Medial occipitotemporal gyrus,medical occipito temporal gyrus,anatomy
Walker's cortical areas,walker cortical area,anatomy
upper rhombic lip,upper rhombic lip,anatomy
medial septal nucleus,medial septal nucleus,anatomy
caudal part of ventral lateral nucleus,caudal part ventral lateral nucleus,anatomy
Rostral Zona Incerta,rostral zona incerta,anatomy
Thoracic pulmonary nerves,thoracic pulmonary nerve,anatomy
area 20 of Brodmann (human),area brodmann human,anatomy
Brain Septums,brain,anatomy
parvocellular part of the red nucleus,parvocellular part red nucleus,anatomy
funiculus of neuraxis,funiculus neuraxis,anatomy
Fastigium of fourth ventricle,fourth ventricle,anatomy
temporal association cortex,temporal association cortex,anatomy
vagal nucleus,vagal nucleus,anatomy
"Geniculate Bodies, Lateral",geniculate bodies lateral,anatomy
magnocellular part of the lateral reticular nucleus,magnocellular part lateral reticular nucleus,anatomy
Supraesophageal ganglion,ganglion,anatomy
"isocortex, granular layer",isocortex granular layer,anatomy
anterior quadrangular lobule of cerebellum,anterior lobule cerebellum,anatomy
sulcus t2,sulcus t2,anatomy
ventrolateral nucleus of the spinal cord,ventrolateral nucleus spinal cord,anatomy
"Areas, Preoptic",area preoptic,anatomy
vestibulocerebellar tract,tract,anatomy
olfactory pathway,olfactory pathway,anatomy
central lobule of the cerebellum,central lobule cerebellum,anatomy
lateral tuberal nucleus,lateral nucleus,anatomy
"Amygdala Nucleus, Central",amygdala nucleus central,anatomy
Cervical enlargement,cervical enlargement,anatomy
obex angle,obex angle,anatomy
inferior parietal lobule,inferior parietal lobule,anatomy
lateral sulcus,lateral sulcus,anatomy
thalamic peduncle,thalamic peduncle,anatomy
substantia nigral channel of motor thalamus,substantia nigra channel motor thalamus,anatomy
external capsule,external capsule,anatomy
Cerebral cortex gray matter,cerebral cortex gray matter,anatomy
temporal peduncle,temporal peduncle,anatomy
tuberohypophyseal tract,tract,anatomy
region 6,region 6,anatomy
gigantocellular nucleus,nucleus,anatomy
spinal trigeminal tract of medulla,spinal trigeminal tract medulla,anatomy
central part of the anterior hypothalamic nucleus,central part anterior hypothalamus nucleus,anatomy
Turck's bundle,bundle,anatomy
Anterior Hypothalamic Commissures,anterior hypothalamus commissure,anatomy
"Areas, Lateral Hypothalamic",area lateral hypothalamus,anatomy
Substantia innominata,substantia innominata,anatomy
orbitofrontal region,orbitofrontal region,anatomy
"ventral posterior lateral nucleus, anterior part",ventral posterior lateral nucleus anterior part,anatomy
subfascicular nucleus,nucleus,anatomy
cerebrospinal trunk,cerebrospinal trunk,anatomy
ventral medial visceral nucleus,ventral medial visceral nucleus,anatomy
circumventricular organ,circumventricular organ,anatomy
central part of oculomotor nerve,central part oculomotor nerve,anatomy
paraventricular nucleus of the hypothalamus parvicellular division,paraventricular nucleus hypothalamus parvocellular division,anatomy
midbrain tract of the trigeminal nerve,midbrain tract trigeminal nerve,anatomy
Temporal Gyrus,temporal gyrus,anatomy
triangular tract,triangular tract,anatomy
magnocellular octaval nucleus,magnocellular nucleus,anatomy
decussation of lemnisci,decussation,anatomy
"Dorsalis, Nucleus Raphes",dorsal nucleus,anatomy
hypothalamic periventricular region,hypothalamus periventricular region,anatomy
"Cortices, Orbital",cortices orbital,anatomy
Olfactory nerve,olfactory nerve,anatomy
cervical enlargement,cervical enlargement,anatomy
prelimbic cortex,prelimbic cortex,anatomy
central gray of the medulla,central gray medulla,anatomy
Tegmentum of Pons,tegmentum pons,anatomy
Circumenteric nerve ring,nerve ring,anatomy
prerubral tegmental nucleus,tegmental nucleus,anatomy
Ependyma,ependymal,anatomy
medial part of the medial preoptic nucleus,medical part medical preoptic nucleus,anatomy
paraventricular nucleus of the hypothalamus magnocellular division,paraventricular nucleus hypothalamus magnocellular division,anatomy
area 27 of Brodmann,area brodmann,anatomy
hilum of inferior olivary complex,hilum inferior olivary complex,anatomy
obscurus raphe nucleus,raphe nucleus,anatomy
Brodmann's area 44,brodmann area 44,anatomy
Carotid ganglion,carotid ganglion,anatomy
hDBB,,anatomy
septomarginal fasciculus,fasciculus,anatomy
Entorhinal Cortex,entorhinal cortex,anatomy
Communicating branch of otic ganglion with auriculotemporal nerve,communication branch otic ganglion nerve,anatomy
Medial septal complex,medical septal complex,anatomy
body of the third ventricle,body third ventricle,anatomy
anterior column of the fornix,anterior column fornix,anatomy
"ongur, price, and ferry (2003) area iapm",ongur price ferry area,anatomy
"Lateralis, Nucleus Septi",lateral nucleus,anatomy
ventral trigeminal tract,ventral trigeminal tract,anatomy
arcuate nucleus-1,arcuate nucleus,anatomy
parabrachial pigmented nucleus,parabrachial pigmented nucleus,anatomy
"Interna, Capsula",internal capsular,anatomy
roof nuclei-2,roof nuclei,anatomy
nigrothalamic tract,tract,anatomy
Pallidum,pallidus,anatomy
perforant path,perforant path,anatomy
supraoculomotor nucleus,nucleus,anatomy
"Septum, Supracommissural",septum,anatomy
Arcuate Nucleus,arcuate nucleus,anatomy
"Ceruleus Complices, Locus",coeruleus locus,anatomy
"Bundle, Predorsal",bundle,anatomy
area 3,area 3,anatomy
planum temporale,planum temporale,anatomy
spinal reticular nucleus,spinal reticular nucleus,anatomy
cerebral gyri,cerebral gyri,anatomy
dorsolateral zone,dorsolateral zone,anatomy
granular cell layer of dorsal cochlear nucleus,granular cell layer dorsal cochlear nucleus,anatomy
Pulvinars,,anatomy
"Posterior Commissures, Cerebellar",posterior commissure cerebellum,anatomy
retrohippocampal region,region,anatomy
bed nuclei of the stria terminalis oval nucleus,bed nuclei stria terminalis oval nucleus,anatomy
posteromedial cortical amygdaloid nucleus,posteromedial cortical amygdaloid nucleus,anatomy
dorsal gray column,dorsal gray column,anatomy
optic lemniscus,optic lemniscus,anatomy
area Iai of Carmichael,area carmichael,anatomy
nucleus ventrocaudalis anterior internus (hassler),nucleus anterior internus,anatomy
anterolateral corticospinal tract,anterolateral corticospinal tract,anatomy
angular area 39,angular area,anatomy
crus cerebri,crus cerebro,anatomy
prepositus hypoglossal nucleus,hypoglossal nucleus,anatomy
Roof of fourth ventricle,roof fourth ventricle,anatomy
"Nucleus, Barrington",nucleus barrington,anatomy
part of folium-tuber vermis,part tube vermis,anatomy
Terminal sulcus,terminal sulcus,anatomy
Uncrossed corticospinal tract,uncrossed corticospinal tract,anatomy
Bed nuclei of the stria terminalis anterolateral area,bed nuclei stria terminalis anterolateral area,anatomy
Locus Coeruleus,locus coeruleus,anatomy
orbital area 47,orbital area,anatomy
tractus corticospinalis,tract,anatomy
telencephalic dopaminergic cell group,telencephalon dopamine cell group,anatomy
Choroid epithelium of fourth ventricle,choroid epithelium fourth ventricle,anatomy
"periaqueductal gray, commissural nucleus",periaqueductal gray commissure nucleus,anatomy
claustrum (Burdach),claustrum,anatomy
anterior midbody,anterior midbody,anatomy
Locus Ceruleus Complices,locus coeruleus,anatomy
pineal body,pineal body,anatomy
Motor Nucleus of Trigeminal Nerve,motor nucleus trigeminal nerve,anatomy
multiform layer of neocortex,layer neocortex,anatomy
Brodmann (1909) area 16,brodmann area,anatomy
dorsal trigeminal tract,dorsal trigeminal tract,anatomy
ventral funiculus,ventral funiculus,anatomy
Nucleus intralamellaris caudalis (Hassler),nucleus caudal,anatomy
Precentral Motor Areas,precentral motor area,anatomy
Nucleus Geniculatus Lateralis Pars Dorsalis,nucleus lateral pars dorsal,anatomy
"Body, Trapezoid",body trapezoid,anatomy
"Internas, Capsula",capsular,anatomy
posterior inferior lobule,posterior inferior lobule,anatomy
Prepyriform Cortex,cortex,anatomy
superior pontine sulcus,superior pontine sulcus,anatomy
Dorsal digital nerves of deep fibular nerve,dorsal digital nerve deep fibular nerve,anatomy
Rhinencephalon (Nomina),,anatomy
olfactory bulb layer,olfactory bulb layer,anatomy
accessory nerve,accessory nerve,anatomy
dorsal funicular gray,dorsal gray,anatomy
interthalamic connection,connectivity,anatomy
lateral parolfactory nucleus,lateral nucleus,anatomy
"ventral anterior nucleus, magnocellular part",ventral anterior nucleus magnocellular part,anatomy
Brodmann (1909) area 29,brodmann area,anatomy
"isocortex, superficial supragranular pyramidal layer",isocortex superficial supragranular pyramidal layer,anatomy
primary somatosensory area barrel field layer 4,primary somatosensory barrel field layer,anatomy
midbrain medial longitudinal fasciculus,midbrain medial longitudinal fasciculus,anatomy
juxtaventromedial region,region,anatomy
dorsal vestibular nucleus,dorsal vestibular nucleus,anatomy
anterior subcentral sulcus,anterior sulcus,anatomy
root of oculomotor nerve,root oculomotor nerve,anatomy
Coccygeal plexus,plexus,anatomy
B1 cell group,b1 cell group,anatomy
Digastric nerve,nerve,anatomy
operculum orbitale,operculum,anatomy
tract of Lissauer,tract,anatomy
rhinencephalon of Crosby,,anatomy
ninth thoracic spinal cord segment,ninth thoracic spinal cord segment,anatomy
retrorubral fields,field,anatomy
ansa peduncularis in thalamo,thalamo,anatomy
Left gastric plexus,left gastric plexus,anatomy
retrosplenial agranular cortex,retrosplenial agranular cortex,anatomy
lateral thalamic nuclei,lateral thalamic nuclei,anatomy
Vomeronasal nerve,vomeronasal nerve,anatomy
Nerve cord,nerve cord,anatomy
Infundibulum,infundibular,anatomy
"Nucleus, Lateral Thalamic",nucleus lateral thalamic,anatomy
thalamic nucleus,thalamic nucleus,anatomy
anteromedial nucleus of the thalamus,anteromedial nucleus thalamus,anatomy
caput (caudatus),caudatus,anatomy
lower calcarine sulcus,lower calcarine sulcus,anatomy
longitudinal fasciculus of the pons,longitudinal fasciculus pons,anatomy
Thalamus,thalamus,anatomy
Mauss's area 19,area 19,anatomy
pregenual cingulate cortex,pregenual cingulate cortex,anatomy
"Nucleus, Medial Septal",nucleus medical septal,anatomy
Cerebral nuclei corticospinal tract,cerebral nuclei corticospinal tract,anatomy
hippocampal fissure (Gratiolet),hippocampal fissure,anatomy
laterorostral part of the reuniens nucleus,part reuniens nucleus,anatomy
"Commissure, Telencephalic",commissure telencephalon,anatomy
cerebello-rubro-thalamic fibers,cerebellum thalamic fiber,anatomy
lateral terminal nucleus of the accessory optic tract,lateral terminal nucleus accessory optic tract,anatomy
medial accessory nucleus of inferior olivary complex,medical accessory nucleus inferior olivary complex,anatomy
spinal trigeminal tract of pons,spinal trigeminal tract pons,anatomy
"Ventricles, Third",ventricular third,anatomy
"lobules IV,V",lobules iv v,anatomy
posterior peduncle,posterior peduncle,anatomy
Intraparietal sulcus,intraparietal sulcus,anatomy
Pyriform Cortices,pyriform cortices,anatomy
superior central nucleus raphe,superior central nucleus raphe,anatomy
area ectosplenialis,area,anatomy
Subcommissural Organ,organ,anatomy
anterior forceps,anterior forceps,anatomy
triangular area 45,triangular area 45,anatomy
area 27 of Mauss,area,anatomy
Pituitary TSH-Secreting Cells,pituitary tsh secretion cell,anatomy
nucleus posteriodorsalis of pretectum,nucleus pretectum,anatomy
Hypothalamus,hypothalamus,anatomy
"Triangularis Septus, Nucleus",triangular nucleus,anatomy
"Lobules, Parietal",lobule parietal,anatomy
anterior linear nucleus,anterior linear nucleus,anatomy
Basis Pedunculus,basis,anatomy
specific sensory relay nuclei,specific sensory relay nuclei,anatomy
Superior cardiac nerve,superior cardiac nerve,anatomy
OMPFC region of Carmichael,region carmichael,anatomy
area parainsularis,area,anatomy
area praegenualis,area,anatomy
ventrolateral hypothalamic tract,ventrolateral hypothalamus tract,anatomy
dorsal longitudinal fasciculus of midbrain,dorsal longitudinal fasciculus midbrain,anatomy
"Nucleus, Lateral Parabrachial",nucleus lateral parabrachial,anatomy
magnocellular ventral anterior nucleus,magnocellular ventral anterior nucleus,anatomy
magnocellular part of ventral anterior nucleus,magnocellular part ventral anterior nucleus,anatomy
"TSH-Producing Cell, Pituitary",tsh producing cell pituitary,anatomy
area TPO of Seltzer,area tpo seltzer,anatomy
FSH Secreting Cells,fsh secretion cell,anatomy
cortex of occipital lobe,cortex occipital lobe,anatomy
interstitial nucleus of the medial longitudinal fascicle (Boyce 1895),interstitial nucleus medical longitudinal fascicle,anatomy
inferior medullary lamina,inferior medulla laminar,anatomy
Brodmann's area 16,brodmann area,anatomy
oral part of the ventral posterolateral nucleus,oral part ventral posterolateral nucleus,anatomy
anterior thalamic radiations,anterior thalamic radiation,anatomy
anterior part of anterior cochlear nucleus,anterior part anterior cochlear nucleus,anatomy
medulla oblongata floorplate,medulla oblongata,anatomy
lobule H VI of Larsell,lobule vi,anatomy
efferent vestibular nucleus,efferent vestibular nucleus,anatomy
principal nucleus of inferior olive,principal nucleus inferior olive,anatomy
"mediodorsal nucleus of the thalamus, central part",mediodorsal nucleus thalamus central part,anatomy
dorsal part of the suprachiasmatic nucleus,dorsal part suprachiasmatic nucleus,anatomy
vLps,vlps,anatomy
paleodentate portion of dentate nucleus,portion dentate nucleus,anatomy
Periamygdaloid Cortex,periamygdaloid cortex,anatomy
Auditory Cortex,auditory cortex,anatomy
Communicating branch of intermediofacial nerve with vagus nerve,communication branch nerve vagus nerve,anatomy
glomus of chorioid plexus,glomus plexus,anatomy
area 13b,area,anatomy
Nucleus Olivaris Superior,nucleus superior,anatomy
Stilling's column,column,anatomy
declive,declive,anatomy
posterior cingulate area,posterior cingulate area,anatomy
third cervical spinal cord segment,third cervical spinal cord segment,anatomy
middle thalamic peduncle,middle thalamic peduncle,anatomy
caudal motor nucleus of abducens,caudal motor nucleus abducens,anatomy
Pituitary Pars Nervosa,pituitary pars nervosa,anatomy
cingulate sulcus,cingulate sulcus,anatomy
spinal white matter,spinal white matter,anatomy
"main olfactory bulb, inner plexiform layer",main olfactory bulb inner plexiform layer,anatomy
basomedial amygdaloid nucleus,basomedial amygdaloid nucleus,anatomy
posterior column of fornix,posterior column fornix,anatomy
intralaminar nuclei of the dorsal thalamus,intralaminar nuclei dorsal thalamus,anatomy
Basolateral amygdalar complex,basolateral amygdala complex,anatomy
"Gyri, Orbital",gyri orbital,anatomy
mediodorsal nucleus of the thalamus,mediodorsal nucleus thalamus,anatomy
Enteric plexuses,enteric plexus,anatomy
cingulum bundle,cingulum bundle,anatomy
layer II of neocortex,layer ii neocortex,anatomy
"cortical amygdalar nucleus, posterior part, lateral zone",cortical amygdala nucleus posterior part lateral zone,anatomy
area F2vr,area,anatomy
"Frontal Gyrus, Medial",frontal gyrus medical,anatomy
Limbic Lobes,limbic lobe,anatomy
Ascending superficial branches of cervical plexus,ascending superficial branch cervical plexus,anatomy
posterior cortical amygdalar nucleus,posterior cortical amygdala nucleus,anatomy
"suprachiasmatic hypothalamic nucleus, dorsal part",suprachiasmatic hypothalamus nucleus dorsal part,anatomy
Pallidum,pallidus,anatomy
"Opticum, Chiasma",chiasm,anatomy
cerebellar fissures,cerebellum fissure,anatomy
Brachial plexus middle trunk,brachial plexus middle trunk,anatomy
lateral spinothalamic tract,lateral spinothalamic tract,anatomy
stratum zonale of the thalamus,striatum thalamus,anatomy
Brodmann (1909) area 39,brodmann area,anatomy
deep transitional gyrus (human),deep transition gyrus human,anatomy
dorsal nucleus of medial geniculate complex,dorsal nucleus medical geniculate complex,anatomy
"Hypothalamica Posterior, Area",posterior area,anatomy
stratum zonale colliculi superioris,striatum colliculus,anatomy
nucleus caeruleus,nucleus,anatomy
medial part of gyri orbitales,medical part gyri,anatomy
Probst's bundle,bundle,anatomy
"Septus, Nucleus Accumbens",nucleus accumbens,anatomy
Gyrus Linguali,gyrus,anatomy
lateral pontine bundle,lateral pontine bundle,anatomy
Purkinje Cells,purkinje cell,anatomy
marginal layer of the neural tube,marginal layer neural tube,anatomy
abducent nucleus,nucleus,anatomy
neocortex layer 5,neocortex layer,anatomy
ventral division of cochlear nucleus,ventral division cochlear nucleus,anatomy
predorsal bundle,bundle,anatomy
anteroventral preoptic nucleus,anteroventral preoptic nucleus,anatomy
lobule X of vermis,lobule x vermis,anatomy
descending branches of the dorsal root fibers,descending branch dorsal root fiber,anatomy
corticorubral tract,tract,anatomy
central cervical spinocerebellar tract,central cervical spinocerebellar tract,anatomy
linear nucleus of the medulla,linear nucleus medulla,anatomy
area v23b,area,anatomy
area paragenualis,area,anatomy
3rd Ventricles,ventricular,anatomy
"pontine reticular nucleus, oral part",pontine reticular nucleus oral part,anatomy
"Barriers, Brain-Blood",barrier brain blood,anatomy
posterior auditory area,posterior auditory area,anatomy
mitral layer of the accessory olfactory bulb,mitral layer accessory olfactory bulb,anatomy
neodentate portion of dentate nucleus,portion dentate nucleus,anatomy
"Commissure, Interhemispheric",commissure interhemispheric,anatomy
vagal trigone,vagal trigone,anatomy
A3 cell group,a3 cell group,anatomy
Pontine ventral spinocerebellar tract,pontine ventral spinocerebellar tract,anatomy
2nd Cerebellar lobule,cerebellum lobule,anatomy
nucleus geniculatus medialis fasciculosus (hassler),nucleus medical,anatomy
caudal tuberculum,caudal,anatomy
area 24b,area,anatomy
posterior white column of spinal cord,posterior white column spinal cord,anatomy
gustatory nucleus (thalamus),gustatory nucleus thalamus,anatomy
lumbar spinal cord white matter,lumbar spinal cord white matter,anatomy
occipito-temporal sulcus,occipito temporal sulcus,anatomy
"nucleus of the lateral lemniscus, dorsal part",nucleus lateral lemniscus dorsal part,anatomy
area TE3 of Seltzer-1978,area te3 seltzer,anatomy
genu of corpus callosum,genu corpus callosum,anatomy
basal plate midbrain,basal plate midbrain,anatomy
prerubral tract,tract,anatomy
area 15 of Brodmann,area brodmann,anatomy
Medial Septal Nucleus,medial septal nucleus,anatomy
Superior Frontal Convolution,superior frontal convolution,anatomy
trigeminal nerve spinal tract nucleus,trigeminal nerve spinal tract nucleus,anatomy
inferior olivary hilum,inferior olivary hilum,anatomy
olfactory cortex layer 2,olfactory cortex layer,anatomy
horizontal limb of diagonal band,horizontal limb diagonal band,anatomy
lamina X,laminar x,anatomy
medial area 10,medical area 10,anatomy
secondary somatosensory cortex,secondary somatosensory cortex,anatomy
dorsal ascending trigeminal tract,dorsal ascending trigeminal tract,anatomy
lateral motor zone of the hypothalamus,lateral motor zone hypothalamus,anatomy
sacral subsegment of dorsal funiculus of spinal cord,sacral dorsal funiculus spinal cord,anatomy
Nucleus interanteroventralis,nucleus,anatomy
nuclei laterales thalami,nuclei thalamo,anatomy
Precentral gyrus,precentral gyrus,anatomy
Posterior superior dental nerve,posterior superior dental nerve,anatomy
posterior pituitary,posterior pituitary,anatomy
dorsal root fibers,dorsal root fiber,anatomy
periaqueductal gray of tegmentum,periaqueductal gray tegmentum,anatomy
centromedian-parafascicular nuclear complex,centromedian parafascicular nuclear complex,anatomy
dorsal fornix (rodent),dorsal fornix rodent,anatomy
dorsal nucleus of the medial geniculate body,dorsal nucleus medial geniculate body,anatomy
vertical nucleus of diagonal band,vertical nucleus diagonal band,anatomy
terminal sulcus,terminal sulcus,anatomy
ventral spinal commissure,ventral spinal commissure,anatomy
Isthmus of fauces branches of lingual nerve,isthmus branch lingual nerve,anatomy
Pontine medial forebrain bundle,pontine medial forebrain bundle,anatomy
interpeduncular fossa,interpeduncular fossa,anatomy
paleocerebellum (Crosby),,anatomy
Thalamic mammillothalamic tract,thalamic mammillothalamic tract,anatomy
prerubral field (mouse),field mouse,anatomy
medial thalamic nuclei,medial thalamic nuclei,anatomy
ventral tegmental nucleus of Tsai,ventral tegmental nucleus tsai,anatomy
Vertebral nerve,vertebrate nerve,anatomy
middle temporal area,middle temporal area,anatomy
pre-SMA,pre sma,anatomy
"Gyrus, Medial Occipitotemporal",gyrus medical occipito temporal,anatomy
forceps occipitalis,forceps,anatomy
pons of varolius medial lemniscus,pons medial lemniscus,anatomy
basolateral nucleus of the amygdala anterior part,basolateral nucleus amygdala anterior part,anatomy
parastriatal nucleus,nucleus,anatomy
"inferior olivary complex, central nucleus",inferior olivary complex central nucleus,anatomy
Supraclavicular nerves,supraclavicular nerve,anatomy
Subventricular Zone,subventricular zone,anatomy
Nucleus Obscurus Raphe,nucleus raphe,anatomy
Cuneus Cortices,cuneus cortices,anatomy
dorsal intersegmental tract of spinal cord,dorsal intersegmental tract spinal cord,anatomy
posterior crus of fornix,posterior crus fornix,anatomy
Arbor vitae,arbor,anatomy
area d32,area,anatomy
Dorsal Raphe Nucleus,dorsal raphe nucleus,anatomy
"Cingulate Cortices, Posterior",cingulate cortices posterior,anatomy
medial olfactory tract,medical olfactory tract,anatomy
CA4,ca4,anatomy
ventral corticospinal tract,ventral corticospinal tract,anatomy
Nucleus medianus anuli aqueductus,nucleus,anatomy
vestibular division of acoustic nerve,vestibular division acoustic nerve,anatomy
Lumbar plexus ventral branches,lumbar plexus ventral branch,anatomy
"Regions, Posterior Hypothalamic",region posterior hypothalamus,anatomy
superior nucleus of cranial nerve 5 (Goldberg),superior nucleus cranial nerve goldberg,anatomy
main olivary nucleus,main olivary nucleus,anatomy
lateral white stria of Lancisi,lateral white stria,anatomy
telencephalic tract/commissure,telencephalon tract commissure,anatomy
nucleus of the bulbar accessory nerve,nucleus bulbar accessory nerve,anatomy
Corticotroph,,anatomy
area 9/46v,area 9,anatomy
Quadrigeminal Plates,plate,anatomy
vestibular representation,vestibular representation,anatomy
"Angle, Cerebellopontile",angle,anatomy
segmenta lumbalia medullae spinalis [1-5],,anatomy
central gray matter,central gray matter,anatomy
area 47 of Brodmann,area brodmann,anatomy
Dorsal Acoustic Strias,dorsal acoustic,anatomy
anterior vermis of cerebellum,anterior vermis cerebellum,anatomy
magnocellular tuberomammillary nuclei,magnocellular tuberomammillary nuclei,anatomy
Barringtons Nucleus,nucleus,anatomy
"Septal Nucleus, Lateral",septal nucleus lateral,anatomy
descending gyrus of Ecker,descending gyrus ecker,anatomy
thoracolumbar system,thoracolumbar system,anatomy
lateral reticular nucleus,lateral reticular nucleus,anatomy
transverse pontine fibres,transverse pontine fibre,anatomy
extrapyramidal system,extrapyramidal system,anatomy
Motor Strip,motor strip,anatomy
stratum lacunosum moleculare of the CA1 field,stratum lacunosum moleculare ca1 field,anatomy
Gyrus Parahippocampalis,gyrus,anatomy
raphe obscurus nucleus,raphe nucleus,anatomy
Gyrus Frontalis Inferiors,gyrus frontal,anatomy
region 3 of Ammon's horn,region 3 ammon horn,anatomy
L2 spinal cord segment,l2 spinal cord segment,anatomy
Raphe Pontis Nucleus,raphe pontis nucleus,anatomy
Intralaminar Nuclear Group,intralaminar nuclear group,anatomy
area praesubicularis,area,anatomy
precommissural fornix,fornix,anatomy
area 8 of cortex,area 8 cortex,anatomy
Meyer's loop of optic radiation,meyer loop optic radiation,anatomy
"Tracts, Central Tegmental",tract central tegmental,anatomy
area 12o (macaque),area macaque,anatomy
interstitial nucleus of the eighth nerve,interstitial nucleus eighth nerve,anatomy
"Somatosensory Cortex, Secondary",somatosensory cortex secondary,anatomy
"superior colliculus, superficial gray layer",superior colliculus superficial gray layer,anatomy
posteromedial cortical amygdaloid nucleus,posteromedial cortical amygdaloid nucleus,anatomy
A11 cell group,a11 cell group,anatomy
basis pontis,basis pontis,anatomy
layer 3 of piriform cortex,layer piriform cortex,anatomy
acoustic sulcus,acoustic sulcus,anatomy
"Bulb, Accessory Olfactory",bulb accessory olfactory,anatomy
geniculocalcarine tract,tract,anatomy
"Colliculi, Superior",colliculus superior,anatomy
Superior gluteal nerve,superior gluteal nerve,anatomy
"Granular Layer, External",granular layer external,anatomy
central glial substance,central glial substance,anatomy
limitans nucleus,limitans nucleus,anatomy
"Paths, Perforant",path perforated,anatomy
T4 segment,t4 segment,anatomy
bed nucleus of the stria terminalis,bed nucleus stria terminalis,anatomy
area Tpt of Pandya,area tpt pandya,anatomy
posterior cortical nucleus of amygdala,posterior cortical nucleus amygdala,anatomy
mmX,,anatomy
dorsal tegmental nucleus (Gudden),dorsal tegmental nucleus,anatomy
nuclei of stria terminalis,nuclei stria terminalis,anatomy
C8 segment,c8 segment,anatomy
Respiratory Center,respiratory center,anatomy
infundibular process,infundibular process,anatomy
area 33 of the ACC,area acc,anatomy
Posterior branch of lateral cutaneous branch of intercostal nerves,posterior branch lateral cutaneous branch intercostal nerve,anatomy
"Gyrus, Rectus",gyrus rectus,anatomy
gigantocellular reticular nucleus,reticular nucleus,anatomy
Brodmann area 29,brodmann area,anatomy
neuraxis commissure,neuraxis commissure,anatomy
posteromedian lobule,lobule,anatomy
Gyrus fasciolaris (Amaral),gyrus amaral,anatomy
gracile fascicle (Goll),gracile fascicle,anatomy
commissure of Meynert,commissure meynert,anatomy
reticular formation of medulla oblonmgata,reticular formation medulla,anatomy
Nucleus Raphe Pontis,nucleus raphe pontis,anatomy
Premotor Ear-Eye Field,premotor ear eye field,anatomy
"Peduncle, Middle Cerebellar",peduncle middle cerebellum,anatomy
lateral medullary lamina of pallidum,lateral medulla laminar pallidus,anatomy
medial vestibulospinal tract,medical vestibular tract,anatomy
arcuate fibers (medial lemniscus),arcuate fiber medial lemniscus,anatomy
area 25 of Brodmann-1905,area 25 brodmann,anatomy
medial funicular nucleus medulla oblongata,medical nucleus medulla oblongata,anatomy
caudal part of the thoracic column,caudal part thoracic column,anatomy
Brodmann's area 5,brodmann area,anatomy
Gombault-Philippe triangle,philippe triangle,anatomy
paravermis of the posterior lobe of the cerebellum,posterior lobe cerebellum,anatomy
nucleus semilunaris thalami,nucleus thalamo,anatomy
endohypothalamic tract,tract,anatomy
dopaminergic group A10,dopamine group a10,anatomy
nucleus lateropolaris,nucleus,anatomy
grey substance of brain,grey substance brain,anatomy
Olfactory Peduncles,olfactory peduncle,anatomy
pars nervosa of hypophysis,pars nervosa,anatomy
dorsolateral motor nucleus of vagal nerve,dorsolateral motor nucleus vagal nerve,anatomy
anterodorsal part of the medial amygdalar nucleus,anterodorsal part medical amygdala nucleus,anatomy
Ventral rootlets central part,ventral central part,anatomy
deep white layer of the superior colliculus,deep white layer superior colliculus,anatomy
interanteromedial nucleus thalamus,nucleus thalamus,anatomy
Anterior branch of mandibular nerve,anterior branch mandibular nerve,anatomy
medial lemniscus of medulla,medial lemniscus medulla,anatomy
cerebellovestibular fibers,fiber,anatomy
dorsal lamina,dorsal laminar,anatomy
nucleus of tractus solitarius,nucleus tractus solitarius,anatomy
supraoptic nucleus,supraoptic nucleus,anatomy
Inner part of transverse cerebral fissure,inner part transverse cerebral fissure,anatomy
hemispheric lobule VIIA,hemisphere lobule viia,anatomy
central gray substance of pons,central gray substance pons,anatomy
premotor cortex,premotor cortex,anatomy
"Olivary Nucleus, Superior",olivary nucleus superior,anatomy
area Iai,area,anatomy
"nucleus ""X"" of Fix",nucleus x fix,anatomy
"cochlear nuclei, subpeduncular granular region",cochlear nuclei granular region,anatomy
parolfactory area (Crosby),area,anatomy
magnocellular preoptic nucleus,magnocellular preoptic nucleus,anatomy
dorsal posterior cingulate cortex,dorsal posterior cingulate cortex,anatomy
spinotectal tract of the medulla,tract medulla,anatomy
postlenticular portion of internal capsule,portion internal capsule,anatomy
subicular complex,subicular complex,anatomy
"Pituitary Gland, Posterior",pituitary gland posterior,anatomy
Supramarginal gyrus,supramarginal gyrus,anatomy
Sulcus Calcarinus,sulcus,anatomy
"Cingulate Regions, Posterior",cingulate region posterior,anatomy
"Cortices, Primary Visual",cortices primary visual,anatomy
"Tegmental Tracts, Central",tegmental tract central,anatomy
"Layer, Neocortical Molecular",layer neocortical molecular,anatomy
corona radiata of neuraxis,corona radiata neuraxis,anatomy
adrenergic group C2,adrenergic group c2,anatomy
amygdaloid island,amygdaloid island,anatomy
Meyer's loop,meyer loop,anatomy
